ablation,model,calibration,n_features,accuracy,f1_weighted,auc_roc,brier,log_loss,trades,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd_pct,net_return_pct
A_technical_only,logistic_regression,isotonic,60,0.3941,0.3133,0.508,0.6819,1.7984,55,30.91,0.77,-8.24,-1.1,-1.33,6.94,-4.53
A_technical_only,random_forest,isotonic,60,0.3956,0.3167,0.511,0.6843,1.539,61,29.51,0.71,-10.64,-1.58,-1.75,8.79,-6.49
A_technical_only,xgboost,isotonic,60,0.4011,0.3203,0.5076,0.6957,2.026,54,24.07,0.54,-18.49,-2.82,-3.75,10.33,-9.99
A_technical_only,lightgbm,isotonic,60,0.3606,0.3003,0.5145,0.6824,1.3525,47,21.28,0.47,-21.84,-2.94,-3.55,10.26,-10.26
B_technical_structure,logistic_regression,isotonic,71,0.3964,0.3121,0.494,0.6705,1.1333,27,25.93,0.58,-16.38,-1.76,-2.27,6.15,-4.42
B_technical_structure,random_forest,isotonic,71,0.3988,0.3131,0.4992,0.694,1.8227,48,22.92,0.52,-19.25,-2.69,-2.5,10.08,-9.24
B_technical_structure,xgboost,isotonic,71,0.4042,0.333,0.5102,0.7109,2.7,56,30.36,0.73,-9.99,-1.31,-1.75,7.9,-5.59
B_technical_structure,lightgbm,isotonic,71,0.3956,0.3128,0.5062,0.6782,1.7723,44,40.91,1.18,5.86,0.71,1.24,5.86,2.58
C_technical_structure_regime,logistic_regression,isotonic,79,0.3738,0.3058,0.4947,0.6751,1.2703,31,29.03,0.69,-11.68,-1.29,-2.02,4.83,-3.62
C_technical_structure_regime,random_forest,isotonic,79,0.4065,0.3282,0.5057,0.6781,1.1955,53,28.3,0.67,-12.51,-1.75,-2.14,8.56,-6.63
C_technical_structure_regime,xgboost,isotonic,79,0.3972,0.3124,0.4955,0.6882,1.469,44,20.45,0.44,-23.1,-2.94,-3.9,10.16,-10.16
C_technical_structure_regime,lightgbm,isotonic,79,0.3988,0.3156,0.5137,0.6788,1.4563,60,25.0,0.57,-16.86,-2.7,-3.72,10.12,-10.12
