fold,train_period,val_period,test_period,accuracy,auc_roc,trades,win_rate,profit_factor,expectancy,net_return_pct,max_dd_pct,sharpe
1,2023-08-27 08:00:00 -> 2024-05-03 04:00:00,2024-05-05 16:00:00 -> 2024-06-16 04:00:00,2024-06-18 16:00:00 -> 2024-07-30 04:00:00,0.376,0.5072,2,0.0,0.0,-52.58,-1.05,1.05,-4.22
2,2023-10-08 00:00:00 -> 2024-06-13 20:00:00,2024-06-16 08:00:00 -> 2024-07-27 20:00:00,2024-07-30 08:00:00 -> 2024-09-09 20:00:00,0.432,0.6058,3,66.67,3.64,46.76,1.4,0.53,2.85
3,2023-11-18 16:00:00 -> 2024-07-25 12:00:00,2024-07-28 00:00:00 -> 2024-09-07 12:00:00,2024-09-10 00:00:00 -> 2024-10-21 12:00:00,0.36,0.5571,24,37.5,1.08,2.54,0.61,2.21,0.55
4,2023-12-30 08:00:00 -> 2024-09-05 04:00:00,2024-09-07 16:00:00 -> 2024-10-19 04:00:00,2024-10-21 16:00:00 -> 2024-12-02 04:00:00,0.392,0.5953,18,33.33,0.84,-5.78,-1.04,3.61,-0.9
5,2024-02-10 00:00:00 -> 2024-10-16 20:00:00,2024-10-19 08:00:00 -> 2024-11-29 20:00:00,2024-12-02 08:00:00 -> 2025-01-12 20:00:00,0.436,0.5136,3,66.67,1.83,14.87,0.45,0.54,1.25
6,2024-03-22 16:00:00 -> 2024-11-27 12:00:00,2024-11-30 00:00:00 -> 2025-01-10 12:00:00,2025-01-13 00:00:00 -> 2025-02-23 12:00:00,0.472,0.5586,3,0.0,0.0,-55.17,-1.66,1.66,-5.3
7,2024-05-03 08:00:00 -> 2025-01-08 04:00:00,2025-01-10 16:00:00 -> 2025-02-21 04:00:00,2025-02-23 16:00:00 -> 2025-04-06 04:00:00,0.408,0.5696,13,53.85,2.08,26.91,3.5,1.55,3.71
8,2024-06-14 00:00:00 -> 2025-02-18 20:00:00,2025-02-21 08:00:00 -> 2025-04-03 20:00:00,2025-04-06 08:00:00 -> 2025-05-17 20:00:00,0.272,0.4534,16,25.0,0.45,-21.85,-3.5,4.92,-4.4
9,2024-07-25 16:00:00 -> 2025-04-01 12:00:00,2025-04-04 00:00:00 -> 2025-05-15 12:00:00,2025-05-18 00:00:00 -> 2025-06-28 12:00:00,0.476,0.4814,0,0.0,0.0,0.0,0.0,0.0,0.0
10,2024-09-05 08:00:00 -> 2025-05-13 04:00:00,2025-05-15 16:00:00 -> 2025-06-26 04:00:00,2025-06-28 16:00:00 -> 2025-08-09 04:00:00,0.352,0.5526,16,31.25,0.68,-11.65,-1.86,3.22,-1.82
11,2024-10-17 00:00:00 -> 2025-06-23 20:00:00,2025-06-26 08:00:00 -> 2025-08-06 20:00:00,2025-08-09 08:00:00 -> 2025-09-19 20:00:00,0.484,0.5494,12,33.33,0.85,-5.42,-0.65,3.76,-0.58
12,2024-11-27 16:00:00 -> 2025-08-04 12:00:00,2025-08-07 00:00:00 -> 2025-09-17 12:00:00,2025-09-20 00:00:00 -> 2025-10-31 12:00:00,0.288,0.5164,11,45.45,1.46,13.63,1.5,1.21,1.66
13,2025-01-08 08:00:00 -> 2025-09-15 04:00:00,2025-09-17 16:00:00 -> 2025-10-29 04:00:00,2025-10-31 16:00:00 -> 2025-12-12 04:00:00,0.296,0.4777,5,20.0,0.43,-24.23,-1.21,2.14,-3.52
14,2025-02-19 00:00:00 -> 2025-10-26 20:00:00,2025-10-29 08:00:00 -> 2025-12-09 20:00:00,2025-12-12 08:00:00 -> 2026-01-22 20:00:00,0.348,0.6238,28,39.29,1.03,0.98,0.27,5.32,0.26
15,2025-04-01 16:00:00 -> 2025-12-07 12:00:00,2025-12-10 00:00:00 -> 2026-01-20 12:00:00,2026-01-23 00:00:00 -> 2026-03-05 12:00:00,0.244,0.5595,37,16.22,0.35,-27.07,-10.01,10.01,-7.52
16,2025-05-13 08:00:00 -> 2026-01-18 04:00:00,2026-01-20 16:00:00 -> 2026-03-03 04:00:00,2026-03-05 16:00:00 -> 2026-04-16 04:00:00,0.436,0.5575,0,0.0,0.0,0.0,0.0,0.0,0.0
17,2025-06-24 00:00:00 -> 2026-02-28 20:00:00,2026-03-03 08:00:00 -> 2026-04-13 20:00:00,2026-04-16 08:00:00 -> 2026-05-27 20:00:00,0.292,0.4371,3,33.33,0.83,-6.16,-0.18,0.56,-0.43
18,2025-08-04 16:00:00 -> 2026-04-11 12:00:00,2026-04-14 00:00:00 -> 2026-05-25 12:00:00,2026-05-28 00:00:00 -> 2026-07-08 12:00:00,0.348,0.4571,27,25.93,0.63,-14.31,-3.86,4.92,-2.96
19,2025-09-15 08:00:00 -> 2026-05-23 04:00:00,2026-05-25 16:00:00 -> 2026-07-06 04:00:00,2026-07-08 16:00:00 -> 2026-08-19 04:00:00,0.368,0.4656,21,33.33,0.89,-3.73,-0.78,2.66,-0.76
